Class Card        Author

ArcherF           DerTheVaporeon
ArcherM           DerTheVaporeon
AssassinU         Scraiza, Sword of HaE
BerserkerF        Der
CavalierF         RobertFPY, Pikmin
CavalierM         RobertFPY
FighterF          Jj09, HyperGammaSpaces
MageF             Unknown
MercenaryF        L95
MonkF             RobertFPY
MonkM             RobertFPY, Blademaster
MyrmidonF         L95
PirateF           HyperGammaSpaces
PriestF           flasuban, HyperGammaSpaces
SergeantU         Spud, Rasdel
ShamanF           Unknown
SoldierF          flasuban
SoldierM          flasuban
SummonerU         Orihara_Saki
SupplierF         N426
ThiefF            L95
WyvernKnightU     IS, MeatOfJustice, Pikmin, flasuban, Huichelaar
