Portrait authorName~name:               Used by character:

SSHX~28                                 Milo
GenericPretsel~Cosimo                   Simon
Nickt~Vette                             Aiden
Huichelaar~Splice1_1                    Vivian
Capibarainspace~2                       Leona
Zmr~2                                   Turner
DragonLuca~2                            Demi
AmBrosiac~Brava                         Theresa
AmBrosiac~Faustosilva                   Herbert
Xenith~Woman                            Linda
LaurentLacroix~3                        Carmen
Nickt~Argolis                           Vincent
AmBrosiac~6                             Alvin
Retrogamer~Cleric                       Ch3 NPC in house.
