0x803d30,Name value,Description value,Character Number,Class (support viewer only),Portrait (Zero is Default),Mini Portrait (Zero is Default),Affinity,Units Screen Priority,Level,Base HP,Base Strength,Base Magic,Base Skill,Base Speed,Base Defense,Base Resistance,Base Luck,Constitution Bonus,Sword Level,Lance Level,Axe Level,Bow Level,Staff Level,Anima Level,Light Level,Dark Level,HP Growth,Strength Growth,Magic Growth,Skill Growth,Speed Growth,Defense Growth,Magic Defense Growth,Luck Growth,SkillList Pointer,PersonalSkill,Ability,Character Ability 1,Character Ability 2,Character Ability 3,Character Ability 4,Supports Data Pointer,T1 Class,T1 Palette,T2 Class1,T2 Palette1,T2 Class2,T2 Palette2,T3 Class1,T3 Palette1,T3 Class2,T3 Palette2,T3 Class3,T3 Palette3,T3 Class4,T3 Palette4,EscapeQuoteText ID,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN1*** (Zero),***UNKNOWN2*** (Zero),***UNKNOWN3*** (Zero),***UNKNOWN4*** (Zero),***UNKNOWN5*** (Zero)
Nothing,0x0,0x19,0x1b,0x0,0x1d,0x1f,0,0x0,33,0,35,0,0,37,0,39,0,0,41,0,43,0,45,0,47,0,0,49,0,0,51,0,5,4,0,0x0,0x1,0x7,0xf0,0x1,0xf0,0x3018001,0x0,0x0,0x0,0x0,0x0,0x0,0x11,0x0,0x38,0x0,0x27,0x0,0x39,0x0,0x0,0x4,0x0,0x0,0x0,0x2,0x4,0x1c,0x3,0x0
Vivian,VivianName,VivianDesc,0x1,Supplier,VivianPortrait,0x0,AffLight,0x1,2,2,2,0,1,2,1,0,7,0,0,1,0,0,0,0,0,0,70,40,30,60,60,30,30,60,0,CharmID,NoAbility,0x0,0x40,0x0,0x0,VivianSupports|IsPointer,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Simon,SimonName,SimonDesc,0x2,Druid,SimonPortrait,0x0,AffLight,0x2,8,11,5,9,7,6,4,4,3,0,0,0,0,0,0,0,0,71,80,30,50,40,30,25,35,10,0,StubbornCynicID,NoAbility,0x0,0x0,0x0,0x0,0x0,Shaman,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Leona,LeonaName,LeonaDesc,0x3,Mercenary_F,LeonaPortrait,0x0,AffFire,0x3,3,1,6,0,2,3,0,1,6,2,0,0,0,0,0,0,0,0,80,40,25,45,35,30,40,25,0,DauntID,NoAbility,0x0,0x40,0x0,0x0,LeonaSupports|IsPointer,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Milo,MiloName,LeonaDesc,0x4,Priest,MiloPortrait,0x0,AffFire,0x4,3,1,0,6,2,3,1,0,6,2,0,0,0,0,0,0,0,0,80,25,40,45,35,40,30,25,0,DauntID,NoAbility,0x0,0x0,0x0,0x0,MiloSupports|IsPointer,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Demi,DemiName,DemiDesc,0x5,Soldier_F,DemiPortrait,0x0,AffIce,0x5,4,2,7,2,5,6,3,2,8,3,0,71,0,0,0,0,0,0,70,50,35,50,40,25,35,40,0,ReliefID,NoAbility,0x0,0x40,0x0,0x0,DemiSupports|IsPointer,Soldier_F,0x2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Theresa,TheresaName,TheresaDesc,0x6,Archer_F,TheresaPortrait,0x0,AffDark,0x6,3,3,2,2,5,6,3,3,4,1,0,0,0,31,0,0,0,0,50,45,25,55,60,20,30,50,0,SpurSpdID,EXPBoost,0x0,0x40,0x0,0x0,TheresaSupports|IsPointer,Archer_F,0x4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0xa,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Herbert,HerbertName,HerbertDesc,0x7,Cavalier,HerbertPortrait,0x0,AffAnima,0x7,9,3,4,0,5,5,4,1,9,5,31,31,0,0,0,0,0,0,70,50,5,35,35,25,20,40,0,PivotID,EXPBoost,0x0,0x0,0x0,0x0,HerbertSupports|IsPointer,Cavalier,0x5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Neimi,0x219,0x275,0x8,0x1a,0xa,0x0,1,0xb,1,0,1,2,2,2,0,2,4,0,0,0,0,31,0,0,0,0,55,45,15,50,60,15,35,50,0,RallyLukID,NoAbility,0x0,0x40,0x0,0x0,0x88aec9c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Colm,0x21a,0x276,0x9,0xd,0xc,0x0,6,0xc,2,2,1,1,3,1,1,1,8,0,1,0,0,0,0,0,0,0,75,40,10,40,65,25,20,45,0,RallySpdID,NoAbility,0x0,0x0,0x0,0x0,0x88aec84,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Garcia,0x21b,0x277,0xa,0x3f,0xe,0x0,1,0xd,4,8,3,0,5,3,3,1,3,3,0,0,71,0,0,0,0,0,80,65,5,40,20,25,15,40,0,ColossusID,NoAbility,0x0,0x0,0x0,0x0,0x88aec54,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Innes,0x21c,0x278,0xb,0x1b,0xf,0x0,4,0x14,1,10,7,1,7,10,5,7,14,1,0,0,0,181,0,0,0,0,75,40,10,40,45,20,25,45,0,BowRangeUpID,NoAbility,0x0,0x0,0x0,0x0,0x88aed5c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,HouseText,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
